rtLat,rtLon,rtTitle
28.0000272,2.9999825,Algeria
-12.2045176,44.2832964,Comoros
34.9823018,33.1451285,Cyprus
32.3293809,-83.1137366,Georgia
31.462420950000002,34.262716572130714,State of Palestine
40.3936294,47.7872508,Azerbaijan
33.0955793,44.1749775,Iraq
30.8124247,34.8594762,Israel
31.1667049,36.941628,Jordan
29.2733964,47.4979476,Kuwait
33.8750629,35.843409,Lebanon
26.8234472,18.1236723,Libya
35.8885993,14.4476911,Malta
20.2540382,-9.2399263,Mauritania
26.1551249,50.5344606,Bahrain
33.7680065,66.2385139,Afghanistan
31.1728205,-7.3362482,Morocco
21.0000287,57.0036901,Oman
40.7696272,44.6736646,Armenia
30.3308401,71.247499,Pakistan
25.3336984,51.2295295,Qatar
25.6242618,42.3528328,Saudi Arabia
24.0002488,53.9994829,United Arab Emirates
38.9597594,34.9249653,Turkey
16.3471243,47.8915271,Yemen
46.3144754,11.0480288,
